Renglon,Codigo ACP,Descripcion,Cantidad,UM,Producto ofertado,PN,Costo FOB unit (USD),Flete+seguro unit,Aduana+descarga unit,Costo landed unit,Margen %,PRECIO UNITARIO OFERTADO,MONTO TOTAL RENGLON
1,PPE-EYE-00026,"Lente de seguridad claro",15840,Pr,MCR Safety BearKat BK1,BK110AF,,,,,,,
2,PPE-EYE-00027,"Lente de seguridad oscuro",10800,Pr,MCR Safety BearKat BK1,BK112AF,,,,,,,
3,PPE-EYE-00028,"Sobrelente OTG claro",5200,Pr,MCR Safety Law OTG,OG110AF,,,,,,,
4,PPE-EYE-00029,"Sobrelente OTG gris humo",7200,Pr,MCR Safety Law OTG,OG112AF,,,,,,,
5,PPE-EYE-00015,"Goggle soldadura copa 50mm tono 5",60,Pr,MCR Safety serie 28,28550,,,,,,,
,,TOTAL,39100,,,,,,,,,,
,,,,,,,,,,,,,
NOTA 1,"El precio NO lleva ITBMS ni impuestos de importacion (clausula 4.28.6)",,,,,,,,,,,,
NOTA 2,"DAP Panama: el precio debe absorber la declaracion simplificada de aduanas + descarga y colocacion en sitio en Corozal Edificio 652",,,,,,,,,,,,
NOTA 3,"Pago neto 30 dias: incluir el costo financiero en el margen",,,,,,,,,,,,
NOTA 4,"Adjudicacion por renglon: se puede ofertar solo donde se es competitivo",,,,,,,,,,,,
NOTA 5,"Multa de hasta 10% del valor no entregado por cada prorroga: no prometer menos de 90 dias sin respaldo del fabricante",,,,,,,,,,,,
